##### Convolution | rows=205 cols=9 #####
Table de convolution formelle |  |  |  |  |  |  |  | 
Chaque terme vaut c₁·k^e₁ + c₂·k^e₂. Cette représentation encode les additions et soustractions sans figer k. |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  | 
TERMES DES SUITES |  |  |  |  |  |  |  | 
Rapport | Suite | Ordre | Coeff 1 | Exposant 1 | Coeff 2 | Exposant 2 | Valeur | Expression formelle
1/6 | B | 1 | 1 | 1 | 0 | 0 | 6 | k^1
1/6 | B | 2 | 1 | 2 | 0 | 0 | 36 | k^2
1/6 | B | 3 | 1 | 3 | 0 | 0 | 216 | k^3
1/6 | B | 4 | 1 | 4 | 0 | 0 | 1296 | k^4
1/6 | B | 5 | 1 | 5 | 0 | 0 | 7776 | k^5
1/6 | B | 7 | 1 | 7 | 0 | 0 | 279936 | k^7
1/6 | B | 8 | 1 | 8 | 0 | 0 | 1679616 | k^8
1/6 | B | 9 | 1 | 9 | 0 | 0 | 10077696 | k^9
1/6 | B | 10 | 1 | 10 | -1 | 8 | 58786560 | k^10 - k^8
1/6 | B | 11 | 1 | 11 | -1 | 9 | 352719360 | k^11 - k^9
1/7 | A | 1 | 1 | 1 | 0 | 0 | 7 | k^1
1/7 | A | 2 | 1 | 2 | 0 | 0 | 49 | k^2
1/7 | A | 3 | 1 | 3 | 0 | 0 | 343 | k^3
1/7 | A | 4 | 1 | 4 | 0 | 0 | 2401 | k^4
1/7 | A | 5 | 1 | 5 | 0 | 0 | 16807 | k^5
1/7 | A | 6 | 1 | 6 | 0 | 0 | 117649 | k^6
1/7 | A | 7 | 1 | 7 | 0 | 0 | 823543 | k^7
1/7 | A | 8 | 1 | 8 | 0 | 0 | 5764801 | k^8
1/7 | A | 9 | 1 | 9 | -1 | 7 | 39530064 | k^9 - k^7
1/7 | A | 10 | 1 | 10 | -1 | 8 | 276710448 | k^10 - k^8
1/7 | B | 1 | 1 | 1 | 0 | 0 | 7 | k^1
1/7 | B | 2 | 1 | 2 | 0 | 0 | 49 | k^2
1/7 | B | 3 | 1 | 3 | 0 | 0 | 343 | k^3
1/7 | B | 4 | 1 | 4 | 0 | 0 | 2401 | k^4
1/7 | B | 5 | 1 | 5 | 0 | 0 | 16807 | k^5
1/7 | B | 7 | 1 | 7 | 0 | 0 | 823543 | k^7
1/7 | B | 8 | 1 | 8 | 0 | 0 | 5764801 | k^8
